2022-05-10 07:05:48.6440||DEBUG|CRUD.Program|Init main function |url: |action: 
2022-05-10 07:05:53.0098||WARN|Microsoft.AspNetCore.Server.IIS.Core.IISHttpServer|Increasing the MaxRequestBodySize conflicts with the max value for IIS limit maxAllowedContentLength. HTTP requests that have a content length greater than maxAllowedContentLength will still be rejected by IIS. You can disable the limit by either removing or setting the maxAllowedContentLength value to a higher limit. |url: |action: 
2022-05-10 08:01:14.4062||ERROR|CRUD.Repositories.ChucNangRepository|Error:  |url: http://localhost/api/chucnang/create|action: CreateChucNang
2022-05-10 08:01:44.7190||ERROR|CRUD.Repositories.ChucNangRepository|Error:  |url: http://localhost/api/chucnang/create|action: CreateChucNang
2022-05-10 08:01:59.0717||ERROR|CRUD.Repositories.ChucNangRepository|Error:  |url: http://localhost/api/chucnang/create|action: CreateChucNang
2022-05-10 10:44:55.7147||DEBUG|CRUD.Program|Init main function |url: |action: 
2022-05-10 10:45:00.3597||WARN|Microsoft.AspNetCore.Server.IIS.Core.IISHttpServer|Increasing the MaxRequestBodySize conflicts with the max value for IIS limit maxAllowedContentLength. HTTP requests that have a content length greater than maxAllowedContentLength will still be rejected by IIS. You can disable the limit by either removing or setting the maxAllowedContentLength value to a higher limit. |url: |action: 
2022-05-10 10:50:45.0644||DEBUG|CRUD.Program|Init main function |url: |action: 
2022-05-10 10:50:46.8247||WARN|Microsoft.AspNetCore.Server.IIS.Core.IISHttpServer|Increasing the MaxRequestBodySize conflicts with the max value for IIS limit maxAllowedContentLength. HTTP requests that have a content length greater than maxAllowedContentLength will still be rejected by IIS. You can disable the limit by either removing or setting the maxAllowedContentLength value to a higher limit. |url: |action: 
2022-05-10 10:56:39.2655||DEBUG|CRUD.Program|Init main function |url: |action: 
2022-05-10 10:56:40.8776||WARN|Microsoft.AspNetCore.Server.IIS.Core.IISHttpServer|Increasing the MaxRequestBodySize conflicts with the max value for IIS limit maxAllowedContentLength. HTTP requests that have a content length greater than maxAllowedContentLength will still be rejected by IIS. You can disable the limit by either removing or setting the maxAllowedContentLength value to a higher limit. |url: |action: 
2022-05-10 10:57:08.6614||WARN|Microsoft.AspNetCore.Identity.RoleManager|Role 42e39119-980c-4da0-b7d2-44bbeaaab3df validation failed: DuplicateRoleName. |url: http://localhost/api/role/create/0|action: CreateOrEditRole
2022-05-10 11:02:10.3946||DEBUG|CRUD.Program|Init main function |url: |action: 
2022-05-10 11:02:11.9451||WARN|Microsoft.AspNetCore.Server.IIS.Core.IISHttpServer|Increasing the MaxRequestBodySize conflicts with the max value for IIS limit maxAllowedContentLength. HTTP requests that have a content length greater than maxAllowedContentLength will still be rejected by IIS. You can disable the limit by either removing or setting the maxAllowedContentLength value to a higher limit. |url: |action: 
